120465	post QUOTED_STRING_0 on twitter	rule tt:$builtin.now tt:$builtin.noop tt:com.twitter.sink tt-param:status QUOTED_STRING_0	( ( post QUOTED_STRING_0 ) ( on twitter ) )
120466	can i haz NUMBER_0 cats	rule tt:$builtin.now tt:com.thecatapi.get tt-param:count NUMBER_0 tt:$builtin.notify	( ( can i ) ( haz ( NUMBER_0 cats ) ) )
120467	call PHONE_NUMBER_0	rule tt:$builtin.now tt:$builtin.noop tt:org.thingpedia.builtin.thingengine.phone.call tt-param:number PHONE_NUMBER_0	( call PHONE_NUMBER_0 )
120469	notify me if i receive an email with label QUOTED_STRING_0	rule tt:com.gmail.receive_email if tt-param:labels has QUOTED_STRING_0 tt:$builtin.noop tt:$builtin.notify	( ( notify me ) ( if ( i ( receive ( ( an email ) ( with ( label QUOTED_STRING_0 ) ) ) ) ) ) )
120471	xkcd NUMBER_0	rule tt:$builtin.now tt:com.xkcd.get_comic tt-param:number NUMBER_0 tt:$builtin.notify	( xkcd NUMBER_0 )
120472	monitor dms from QUOTED_STRING_0 on twitter	rule tt:com.twitter.direct_message if tt-param:from = QUOTED_STRING_0 tt:$builtin.noop tt:$builtin.notify	( ( monitor dms ) ( from ( QUOTED_STRING_0 ( on twitter ) ) ) )
120475	fb post	rule tt:$builtin.now tt:$builtin.noop tt:com.facebook.post	( fb post )
120477	search QUOTED_STRING_0 on bing	rule tt:$builtin.now tt:com.bing.web_search tt-param:query QUOTED_STRING_0 tt:$builtin.notify	( ( search QUOTED_STRING_0 ) ( on bing ) )
120485	post on twitter saying QUOTED_STRING_0	rule tt:$builtin.now tt:$builtin.noop tt:com.twitter.sink tt-param:status QUOTED_STRING_0	( ( post ( on twitter ) ) ( saying QUOTED_STRING_0 ) )
120486	monitor GENERIC_ENTITY_tt:stock_id_0 stock	rule tt:com.yahoo.finance.stock_quote tt-param:stock_id GENERIC_ENTITY_tt:stock_id_0 tt:$builtin.noop tt:$builtin.notify	( monitor ( GENERIC_ENTITY_tt:stock_id_0 stock ) )
